Code,SubjectPaperName,Type,date,max_number,marked_actual,ExamDate,Awarding,start_date,end_date,marked_prediction,pred_dif_tot,pred_dif_pc,level,level_code
3422/52,PHYSICS UNIT 2 UNIT 2 HAEN UWCH,DRS,04/06/2019,724,0,22/05/2019,24/07/2019,21707,21750,0,0,0,GCSE,1
3431/51,SCIENCE (DOUBLE) BIOLOGY 1 UNIT 1 HAEN SYLFAENOL,DRS,03/06/2019,2313,0,07/06/2019,24/07/2019,21720,21750,0,0,0,GCSE,1
3434/02,SCIENCE (DOUBLE) BIOLOGY 2 UNIT 4 HIGHER TIER,DRS,30/05/2019,6378,155,14/05/2019,24/07/2019,21705,21750,0,155,2.4302289,GCSE,1
5670/01,FILM STUDIES COMPONENT 1,DRS,30/05/2019,5156,1,10/06/2019,24/07/2019,21727,21750,0,1,.01939488,GCSE,1
3403/02,BIOLOGY UNIT 2 UNIT 2 HIGHER TIER,DRS,03/06/2019,5544,2205,14/05/2019,24/07/2019,21705,21750,0,2205,39.772728,GCSE,1
3412/52,CHEMISTRY UNIT 2 UNIT 2 HAEN UWCH,DRS,30/05/2019,756,0,16/05/2019,24/07/2019,21705,21750,0,0,0,GCSE,1
3436/01,SCIENCE (DOUBLE) PHYSICS 2 UNIT 6 FOUNDATION,DRS,29/05/2019,11529,1,22/05/2019,24/07/2019,21705,21750,0,1,.0086737787,GCSE,1
3434/02,SCIENCE (DOUBLE) BIOLOGY 2 UNIT 4 HIGHER TIER,DRS,03/06/2019,6378,2231,14/05/2019,24/07/2019,21705,21750,0,2231,34.979618,GCSE,1
3422/02,PHYSICS UNIT 2 UNIT 2 HIGHER TIER,DRS,03/06/2019,5325,1,22/05/2019,24/07/2019,21707,21750,0,1,.018779343,GCSE,1
3431/51,SCIENCE (DOUBLE) BIOLOGY 1 UNIT 1 HAEN SYLFAENOL,DRS,30/05/2019,2313,0,07/06/2019,24/07/2019,21720,21750,0,0,0,GCSE,1
3435/52,SCIENCE (DOUBLE) CHEMISTRY 2 UNIT 5 HAEN UWCH,DRS,03/06/2019,722,4,16/05/2019,24/07/2019,21705,21750,0,4,.55401665,GCSE,1
3435/52,SCIENCE (DOUBLE) CHEMISTRY 2 UNIT 5 HAEN UWCH,DRS,29/05/2019,722,0,16/05/2019,24/07/2019,21705,21750,0,0,0,GCSE,1
3411/02,CHEMISTRY UNIT 1 UNIT 1 HIGHER TIER,DRS,03/06/2019,6590,1,12/06/2019,24/07/2019,21727,21750,0,1,.015174507,GCSE,1
3434/51,SCIENCE (DOUBLE) BIOLOGY 2 UNIT 4 HAEN SYLFAENOL,DRS,30/05/2019,1707,11,14/05/2019,24/07/2019,21705,21750,0,11,.64440536,GCSE,1
3437/51,SCIENCE (DOUBLE) UNIT 7 UNED 7 YMARFEROL,,30/05/2019,2496,1525,,24/07/2019,21705,21750,0,1525,61.097755,GCSE,1
5670/01,FILM STUDIES COMPONENT 1,DRS,29/05/2019,5156,1,10/06/2019,24/07/2019,21727,21750,0,1,.01939488,GCSE,1
3435/51,SCIENCE (DOUBLE) CHEMISTRY 2 UNIT 5 HAEN SYLFAENOL,DRS,29/05/2019,1742,0,16/05/2019,24/07/2019,21705,21750,0,0,0,GCSE,1
3412/51,CHEMISTRY UNIT 2 UNIT 2 HAEN SYLFAENOL,DRS,29/05/2019,107,0,16/05/2019,24/07/2019,21705,21750,0,0,0,GCSE,1
3413/51,CHEMISTRY UNIT 3 UNED 3 YMARFEROL,,30/05/2019,879,730,,24/07/2019,21705,21750,0,730,83.04892,GCSE,1
3437/01,SCIENCE (DOUBLE) UNIT 7 UNIT 7 PRACTICAL,,03/06/2019,18916,16935,,24/07/2019,21705,21750,0,16935,89.527382,GCSE,1
3411/51,CHEMISTRY UNIT 1 UNIT 1 HAEN SYLFAENOL,DRS,29/05/2019,145,0,12/06/2019,24/07/2019,21721,21750,0,0,0,GCSE,1
3412/02,CHEMISTRY UNIT 2 UNIT 2 HIGHER TIER,DRS,29/05/2019,5478,0,16/05/2019,24/07/2019,21705,21750,0,0,0,GCSE,1
3700/01,ENGLISH LANGUAGE UNIT 1 - ORACY,,30/05/2019,36224,36141,,24/07/2019,21705,21750,0,36141,99.770866,GCSE,1
3436/52,SCIENCE (DOUBLE) PHYSICS 2 UNIT 6 HAEN UWCH,DRS,03/06/2019,729,0,22/05/2019,24/07/2019,21705,21750,0,0,0,GCSE,1
3413/01,CHEMISTRY UNIT 3 UNIT 3 PRACTICAL,,30/05/2019,6949,5445,,24/07/2019,21705,21750,0,5445,78.356598,GCSE,1
3435/02,SCIENCE (DOUBLE) CHEMISTRY 2 UNIT 5 HIGHER TIER,DRS,29/05/2019,6195,1,16/05/2019,24/07/2019,21705,21750,0,1,.01614205,GCSE,1
3432/02,SCIENCE (DOUBLE) CHEMISTRY 1 UNIT 2 HIGHER TIER,DRS,03/06/2019,6918,1,12/06/2019,24/07/2019,21723,21750,0,1,.014455045,GCSE,1
3433/51,SCIENCE (DOUBLE) PHYSICS 1 UNIT 3 HAEN SYLFAENOL,DRS,30/05/2019,2118,0,14/06/2019,24/07/2019,21724,21750,0,0,0,GCSE,1
3423/51,PHYSICS UNIT 3 UNED 3 YMARFEROL,,29/05/2019,838,411,,24/07/2019,21705,21750,0,411,49.045345,GCSE,1
3436/02,SCIENCE (DOUBLE) PHYSICS 2 UNIT 6 HIGHER TIER,DRS,29/05/2019,6175,0,22/05/2019,24/07/2019,21705,21750,0,0,0,GCSE,1
3423/51,PHYSICS UNIT 3 UNED 3 YMARFEROL,,04/06/2019,838,838,,24/07/2019,21705,21750,0,838,100,GCSE,1
3435/52,SCIENCE (DOUBLE) CHEMISTRY 2 UNIT 5 HAEN UWCH,DRS,30/05/2019,722,0,16/05/2019,24/07/2019,21705,21750,0,0,0,GCSE,1
3413/51,CHEMISTRY UNIT 3 UNED 3 YMARFEROL,,04/06/2019,879,867,,24/07/2019,21705,21750,0,867,98.634811,GCSE,1
3434/02,SCIENCE (DOUBLE) BIOLOGY 2 UNIT 4 HIGHER TIER,DRS,29/05/2019,6378,18,14/05/2019,24/07/2019,21705,21750,0,18,.28222013,GCSE,1
3412/02,CHEMISTRY UNIT 2 UNIT 2 HIGHER TIER,DRS,03/06/2019,5478,46,16/05/2019,24/07/2019,21705,21750,0,46,.83972251,GCSE,1
3403/02,BIOLOGY UNIT 2 UNIT 2 HIGHER TIER,DRS,29/05/2019,5544,52,14/05/2019,24/07/2019,21705,21750,0,52,.93795091,GCSE,1
3700/03,ENGLISH LANGUAGE UNIT 3,DRS,30/05/2019,36224,319,07/06/2019,24/07/2019,21717,21750,0,319,.88063163,GCSE,1
3433/02,SCIENCE (DOUBLE) PHYSICS 1 UNIT 3 HIGHER TIER,DRS,04/06/2019,7048,1,14/06/2019,24/07/2019,21724,21750,0,1,.014188422,GCSE,1
5670/03,FILM STUDIES COMPONENT 3,BTL IAMIS,04/06/2019,5156,5155,,24/07/2019,21705,21750,0,5155,99.980606,GCSE,1
