Code,Qual,qual_level
8711/04,8711,2
8711/01,8711,2
8711/03,8711,2
8711/02,8711,2
8721/01,8721,2
8721/02,8721,2
8721/04,8721,2
8721/03,8721,2
8800/03,8800,2
8800/01,8800,2
8800/02,8800,2
8800/04,8800,2
8801/02,8801,2
8801/01,8801,2
8801/03,8801,2
8810/03,8810,2
8810/02,8810,2
8810/01,8810,2
8810/04,8810,2
8811/02,8811,2
8811/01,8811,2
8811/03,8811,2
8820/01,8820,2
8820/02,8820,2
8820/04,8820,2
8820/03,8820,2
8821/02,8821,2
8821/01,8821,2
8821/03,8821,2
8950/01,8950,2
8950/02,8950,2
8951/01,8951,2
8951/02,8951,2
8953/01,8953,2
8953/02,8953,2
8954/02,8954,2
8954/01,8954,2
8956/02,8956,2
8956/01,8956,2
